Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"February 28, 2022 - January 5, 2023"
Statement,Data,WhenGenerated,"2023-01-07, 02:32:49 EST"
Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,EUR,2022-06-29,VERX(IE00BKX55S42) Cash Dividend EUR 0.720226 per Share (Mixed Income),36.01
Dividends,Data,EUR,2022-06-29,VGER(IE00BG143G97) Cash Dividend EUR 0.61861 per Share (Mixed Income),136.71
Dividends,Data,EUR,2022-08-04,UEFD(LU0671493277) Cash Dividend EUR 2.5417 per Share (Mixed Income),101.67
Dividends,Data,EUR,2022-09-28,VERX(IE00BKX55S42) Cash Dividend EUR 0.071622 per Share (Mixed Income),10.74
Dividends,Data,EUR,2022-09-28,VGER(IE00BG143G97) Cash Dividend EUR 0.010335 per Share (Mixed Income),3.1
Dividends,Data,EUR,2022-12-28,VERX(IE00BKX55S42) Cash Dividend EUR 0.100297 per Share (Mixed Income),15.04
Dividends,Data,Total,,,303.27
Dividends,Data,GBP,2022-12-09,LCUK(LU1781541096) Cash Dividend GBP 0.19 per Share (Mixed Income),66.5
Dividends,Data,Total,,,66.5
Dividends,Data,Total in EUR,,,77.4326
Dividends,Data,USD,2022-05-27,DON(US97717W5058) Cash Dividend USD 0.085 per Share (Ordinary Dividend),5.1
Dividends,Data,USD,2022-06-15,IEMG(US46434G1031) Cash Dividend USD 0.604409 per Share (Ordinary Dividend),12.09
Dividends,Data,USD,2022-06-15,IJS(US4642878791) Cash Dividend USD 0.283479 per Share (Ordinary Dividend),5.67
Dividends,Data,USD,2022-06-15,ISCV(US4642887032) Cash Dividend USD 0.208317 per Share (Ordinary Dividend),16.67
Dividends,Data,USD,2022-06-24,AVDV(US0250728021) Cash Dividend USD 0.9936 per Share (Ordinary Dividend),99.36
Dividends,Data,USD,2022-06-24,VLU(US78464A1280) Payment in Lieu of Dividend (Ordinary Dividend),23.56
Dividends,Data,USD,2022-06-24,VWO(US9220428588) Cash Dividend USD 0.3057 per Share (Ordinary Dividend),7.64
Dividends,Data,USD,2022-06-27,DFAE(US25434V3024) Payment in Lieu of Dividend (Ordinary Dividend),2.49
Dividends,Data,USD,2022-06-27,DFAI(US25434V2034) Cash Dividend USD 0.328826 per Share (Ordinary Dividend),7.23
Dividends,Data,USD,2022-06-27,DFAS(US25434V5003) Cash Dividend USD 0.138307 per Share (Ordinary Dividend),1.52
Dividends,Data,USD,2022-06-27,DFAT(US25434V6092) Cash Dividend USD 0.170814 per Share (Ordinary Dividend),10.76
Dividends,Data,USD,2022-06-27,DFAT(US25434V6092) Payment in Lieu of Dividend (Ordinary Dividend),0.85
Dividends,Data,USD,2022-06-27,DFIV(US25434V8072) Cash Dividend USD 0.670392 per Share (Ordinary Dividend),19.44
Dividends,Data,USD,2022-06-27,DFUS(US25434V4014) Cash Dividend USD 0.153626 per Share (Ordinary Dividend),3.38
Dividends,Data,USD,2022-06-27,SCHE(US8085247067) Cash Dividend USD 0.0754 per Share (Ordinary Dividend),2.64
Dividends,Data,USD,2022-06-28,FLLA(US35473P5614) Payment in Lieu of Dividend (Ordinary Dividend),19.18
